aah	[INTERJECTION] surprise, pleasure
aloud	out loud
alp	high mountain
alpha	first
alphabet	the letters
alphabetic	of letters
alphabetic	ordered by letters
alphabetical	by letters
alphabetical	ordered
alphameric	of letters and numbers
alphanumeric	of letters and numbers
alps	high mountains
alps	Alps
already	up to now
already	before
already	even now
alright	all right
also	in addition
also	[second]
altar	high table in church
alter	make a change
alteration	a change
alterations	changes
altercation	violent argument
altered	made a change
altering	making a change
alternate	do in turn
alternate	first one, then the other
alternative	thing which might take the place of another
alternative	different
alternative	[science]
alternatively	in a different way
alternatively	[science]
alternatives	things which might take the place of another
alternatives	[science]
alters	makes a change
alters	makes a change
alters	high table in church
although	though
although	tho
although	altho
altimeter	instrument for measuring higher
altitude	distance up
altogether	completely
altruism	putting others first
alum	sort of salt used medically
aluminium	aluminium
aluminium	aluminum
aluminium	[chemical]
aluminiums	aluminiums
aluminiums	aluminums
aluminiums	[chemical]
aluminum	aluminum
aluminum	aluminium
aluminum	[chemical]
aluminums	aluminums
aluminums	aluminiums
aluminums	[chemical]
alumni	persons who has been at some school
alumnus	person who has been at some school
always	at all times
always	[second]
am	am
amalgam	soft mixed substance
amalgamate	get mixed
amalgamated	united
amalgams	mixed substances
amanuensis	person writing down words of another for him
amaranth	ever-living flower
amaranth	red-blue color
amaranths	ever-living flowers
amass	get things together
amassed	got together
amasses	gets together
amassing	getting together
amateur	not doing for a living
amateurish	by untrained person
amateurs	persons not doing for a living
amaze	make very surprised
amazed	made very surprised
amazes	makes very surprised
amazing	making very surprised
amazingly	surprisingly
amazement	great surprise
ambassador	nation's representative in another country
ambassadors	representatives
amber	clear, yellow substance used for ornament
ambidextrous	two-handed
ambidextrous	able to use left and right hands equally
ambient	all round
ambient	on all sides
ambiguities	with more than one possible sense
ambiguity	with more than one possible sense
ambiguous	not clear
ambition	desire to go far
ambition	strong desire to do (a thing) well
ambition	[second]
ambitions	desires
ambitions	[second]
ambitious	strongly desiring
ambitiously	strongly desiring
amble	slow, untroubled walk
ambled	took slow, untroubled walk
ambles	slow, untroubled walks
ambling	taking slow, untroubled walk
ambulance	hospital automobile
ambulances	hospital automobiles
ambulatory	able to walk
ambulatory	able to be moved
ambush	surprise attack
ambush	put men in secret place for making attack
ambushed	surprise attack
ambushing	making surprise attack
ambushs	surprise attacks
ameliorate	make better
ameliorate	become better
ameliorate	Let it be so!
ameliorated	made, became better
ameliorates	makes, becomes better
ameliorating	making, becoming better
amen	let it be so
amen	so be it
amen	approval
amend	make better
amend	put right
amended	changed
amending	changing
amendment	change
amends	to put right
amenities	comforts
amenities	pleasing qualities or things
amenity	comfort
amenity	pleasing quality or thing
amerce	make (person) give payment
amerce	give punishment to
america	America
american	American
americans	Americans
americas	Americas
amethyst	red-blue jewel
amiable	kind
amiable	pleasing
amiable	with good feeling
amicable	as between friends
amicable	happy
amid	among
amidst	among
amiss	wrong
amity	harmony
amity	good relation
ammeter	instrument for measuring electric current
ammo	firing material for guns	
ammonia	ammonia
ammoniated	mixed with ammonia
ammunition	firing material for guns
ammunitions	firing materials for guns
amnesia	loss of memory
amnesty	overlooking of earlier crime (by government)
amoeba	most simple jelly-like animal
amoebas	most simple jelly-like animals
amok	going about with a violent desire (for blood)
among	among
amongst	among
amorous	loving
amorous	readily moved to love
amorously	lovingly
amorphic	without clear form
amorphic	without organization
amorphous	without clear form
amorphous	without organization
amount	amount
amounted	amounted
amounting	amounting
amounts	amounts
amour	a love-relation
amour	metal cover used by army
amp	unit of electric current
amperage	current (in amperes)
ampere	unit of measure of electric current
ampersand	&
ampersand	sign for 'and'
amphibian	animal living in water and on land
amphibian	airplane landing on water or earth
amphibian	great in amount
amphibious	able to move from water to land
amphitheater	round building with stepped seats for public amusements
amphitheater	high seats forming half-circle in theater
amphitheaters	round buildings with stepped seats for public amusements
amphitheaters	high seats forming half-circle in theaters
amphitheatre	round building with stepped seats for public amusements
amphitheatre	high seats forming half-circle in theater
ample	enough
ample	with much space
amplifier	apparatus for making sound greater
amplify	make greater
amplitude	size
amplitude	being great
amplitude	distance from middle to outer positions
amply	quite enough
amputate	cut off
amputated	got cut off
amputates	gets cut off
amputating	getting cut off
amputation	cutting off
amuck	going about with a violent desire (for blood)
amulet	ornament against bad powers
amuse	give amusement
amused	gave amusement
amused	given amusement
amusement	amusement
amusements	amusements
amuser	amuser
amusers	amusers
amuses	gives amusement
amusing	giving amusement
amusingly	amusingly
an	an
anachronism	old
anachronism	out of taste
anaconda	sort of great snake
anaemia	poor condition of the blood
anaemia	poor condition of the blood
anaerobic	strength building
anaerobic	gowth without air
anaesthesia	loss of feeling
anaesthesia	unconscious condition
anaesthetic	thing producing loss of feeling, unconscious
anaesthetic	[science]
anaesthetist	expert producing loss of feeling, unconscious
anaesthetist	expert producing loss of feeling, unconscious
anaesthetize	make unconscious of pain
anaesthetize	make unconscious of pain
anagram	word formed from the letters of another
anal	about opening where waste of body goes through
anal	over orderly
analects	group of writings
analgesia	not feeling pain
analog	continuous
analog	wave in form
analog	[computer]
analogous	like
analogous	parallel to
analogous	like in qualities
analogous	like in use or form
analogue	wave in form
analogue	[computer]
analogy	process of reasoning by parallels
analyse	get at the details of
analyse	get broken up (into simpler parts)
analysed	got at the details of
analysed	got broken up (into simpler parts)
analyses	gets at the details of
analyses	gets broken up (into simpler parts)
analysing	getting at details
analysis	process of getting details
analysis	statement of outcome
analyst	one getting details
analytic	given to getting details
analytical	given to getting details
analyze	get at the details of
analyze	get broken up (into simpler parts)
analyzed	got at the details of
analyzed	got broken up (into simpler parts)
analyzer	got at the details of
analyzes	gets at the details of
analyzes	gets broken up (into simpler parts)
analyzing	getting at details
anarchy	condition in which there is no law or order
anarchy	without government
anatomy	the structure of living bodies
ancestor	person in family line
ancestors	persons in family line
anchor	ship's hook
anchor	[second]
anchorage	place ot anchor
anchored	fixed
anchored	[second]
anchoring	fixing
anchoring	[second]
anchorman	news reader
anchors	ship's hooks
anchors	[second]
ancient	old
and	and
and or	and/or
and/or	and/or
andorra	Andorra
anecdote	short story
anecdotes	short stories
anemia	having poor condition of the blood
anemic	poor condition of the blood
anesthesia	loss of feeling
anesthesia	unconscious condition
anesthetic	thing producing loss of feeling, unconscious
anesthetic	[science]
anesthetics	things producing loss of feeling, unconscious
anesthetics	[science]
angel	being with wings
angel	[verse]
angels	beings with wings
angels	[verse]
anger	violent feelings
angered	caused violent feelings
angering	cause violent feelings
angers	cause violent feelings
angle	angle
angled	angled
angler	fisherman
angles	angles
angola	Angola
angrily	angrily
angry	angry
anguish	pain
anguished	with pain
angular	having sharp angles
animal	animal
animals	animals
animate	make living
animated	bright
animated	in motion
animosity	hate
ankle	part joining leg to foot
ankle	[second]
ankles	parts joining leg to foot
ankles	[second]
anklet	anything put on round lower leg
annals	written account of events by year
annex	addition
annex	make an addition
annihilate	put to death
anniversary	one or more years after event
announce	say
announce	make public
announced	said
announced	made public
announcement	something said in public
announcements	things said in public
announces	says
announces	makes public
announcing	saying
announcing	making public
annoy	give trouble
annoyance	thing giving trouble
annoyed	gave trouble
annoyed	being of bad frame of mind
annoying	giving trouble
annoys	gives trouble
annual	every year
annually	every year
annuities	payments made every year
annuity	payment made every year
anomalies	things not regular
anomalies	things not normal
anomalies	seeming errors
anomaly	something not normal
anomaly	something not normal
anomaly	seeming error
anonymous	without a name
anonymous	name not given
anonymously	without name
anorak	sort of winter coat
anoraks	sorts of winter coat
another	another
answer	answer
answerable	responsible
answered	answered
answerer	answerer
answerers	answerers
answering	answering
answers	answers
ant	ant
antagonism	feelings against
antagonize	attack
antagonize	put another person against
antagonized	attacked
antagonized	put another person against
antagonizes	attacks
antagonizes	puts another person against
antagonizing	attacking
antagonizing	putting another person against
anteater	animal taking ants as food
anthem	song of approval
anthology	group of stories
anthracite	hard coal
anti	against
anti-	against
anti-cyclone	good weather
anticipate	see what is coming
anticipated	saw what was coming
anticipates	sees what is coming
anticipating	taking necessary steps
anticipation	feeling for coming events
antidote	something that works against poison
antidote	way of putting things right
antidote	anything that works against a wrong
antique	old
antiques	old things
antiquity	the days of old
antiseptic	keeping clean
antisocial	not given to groups
antithetical	right opposite
antitrust	keeping trade free
ants	ants
anus	opening where waste of body goes through
anvil	part on which metal is hammered
anviled	made by hammering
anviling	making by hammering
anvils	parts on which metal is hammered
anxious	troubled
any	any
anybody	anybody
anyhow	anyhow
anymore	now
anyone	anyone
anyplace	anyplace
anything	anything
anyway	anyway
anywhere	anywhere
anzac	Anzac
aorta	chief blood-vessel from heart
apace	quickly
apache	Apache
apart	not together
apartment	rooms in another's house
apartments	rooms in another's house
apathetic	without feeling
apathetic	not interested
apathy	taking no interest in
apathy	not having feeling for
ape	great monkey
ape	great man-like monkey
ape	copying
ape	[first]
aperture	opening
apertures	openings
apes	great monkeys
apiece	to every one
aplenty	more than enough
apogee	farthest point
apologies	statements of regret
apologise	make statement of regret
apologised	made statement of regret
apologises	makes statement of regret
apologising	making statement of regret
apologize	make statement of regret
apologized	made statement of regret
apologizes	makes statement of regret
apologizing	making statement of regret
apology	statement of regret
apostolic	of the Apostles
apostrophe	mark for letters not there
apostrophe	'
apostrophe	word mark of owner
apostrophe	mark in writing
appal	shock
appaled	shocked
appaling	shocking
appall	shock
appalled	shocked
appalling	shocking
appallingly	shockingly
appalls	shocks
appals	shocks
apparatus	apparatus
apparatus	instrument, thing
apparatuses	apparatuses
apparatuses	instruments, things
apparel	clothing
appareled	dressed
appareling	making clothes
apparels	clothing
apparent	clear
apparently	seems clear
apparition	strangely coming into view
apparitions	things coming strangely into view
appeal	request
appeal	take question for decision
appeal	from lower to higher authority
appeal	have attraction for
appealed	requested
appealed	took question for decision
appealed	took from lower to higher authority
appealed	had attraction for
appealing	requesting
appealing	taking question for decision
appealing	taking from lower to higher authority
appealing	having attraction for
appeals	requests
appeals	takes question for authority
appeals	takes from lower to higher authority
appeals	has attraction for
appear	come into view
appear	seem
appearance	look
